FID,oid,idk,men,men_occ5,pt_men_occ5,geometry
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68ce,20,N14421E19230-N14423E19234,25,20,80,"MULTIPOLYGON (((737842.8461120282 6864872.534857575, 738838.7078767619 6864966.958968522, 738783.126593458 6865564.082965994, 737787.254382096 6865469.658862933, 737842.8461120282 6864872.534857575)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68cd,21,N14422E19178-N14426E19179,11,6,54.545455,"MULTIPOLYGON (((727467.2433720803 6864088.476311085, 727865.5893939926 6864126.296299417, 727772.8669671068 6865121.468105476, 727374.5107687059 6865083.648214508, 727467.2433720803 6864088.476311085)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68cc,22,N14422E19204-N14424E19206,22,14,63.636364,"MULTIPOLYGON (((732645.7967437953 6864580.182117612, 733243.3214034536 6864636.88245564, 733187.7087889469 6865233.996741382, 732590.1840695125 6865177.296438405, 732645.7967437953 6864580.182117612)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68cb,23,N14423E19222-N14430E19228,21,17,80.952381,"MULTIPOLYGON (((736212.3902125629 6865119.347808321, 737606.6098973736 6865251.7319241185, 737458.3471412027 6866843.907073757, 736064.1274750036 6866711.672714118, 736212.3902125629 6865119.347808321)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68ca,24,N14424E19184-N14425E19185,17,1,5.882353,"MULTIPOLYGON (((728625.1926495101 6864600.002493515, 729023.5487802051 6864637.821994912, 728986.4600090663 6865035.888736386, 728588.113798208 6864998.069155407, 728625.1926495101 6864600.002493515)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68c9,25,N14424E19229-N14435E19234,22,15,68.181818,"MULTIPOLYGON (((737588.0859189166 6865450.7698983895, 738783.126593458 6865564.082965994, 738560.7458703594 6867952.457925461, 737365.692137506 6867839.125036511, 737588.0859189166 6865450.7698983895)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68c8,26,N14426E19205-N14430E19209,15,5,33.333333,"MULTIPOLYGON (((732770.8280824104 6865395.234686445, 733766.6992467908 6865489.724871302, 733674.0083738156 6866484.926146911, 732678.1269657814 6866390.42615089, 732770.8280824104 6865395.234686445)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68c7,27,N14427E19174-N14430E19180,17,13,76.470588,"MULTIPOLYGON (((726577.8182315074 6865007.987879324, 727972.0450715926 6865140.378001307, 727897.8571984979 6865936.522115794, 726503.6198519103 6865804.132113958, 726577.8182315074 6865007.987879324)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68c6,28,N14427E19185-N14431E19186,15,6,40,"MULTIPOLYGON (((728768.7375384426 6865216.017422964, 729167.0937861842 6865253.836850499, 729074.3719142156 6866249.009437005, 728676.0155676533 6866211.200015579, 728768.7375384426 6865216.017422964)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68c5,29,N14427E19194-N14432E19202,11,9,81.818182,"MULTIPOLYGON (((730561.3529259273 6865386.339782669, 732353.9373604673 6865556.472630994, 732242.6919309404 6866750.702770063, 730450.0970601687 6866580.5602229815, 730561.3529259273 6865386.339782669)))"
