FID,oid,idk,men,men_occ5,pt_men_occ5,geometry
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c48,15514,N14926E19021-N14926E19021,14,7,50,"MULTIPOLYGON (((686769.3882312281 6961433.465188664, 686968.7542550307 6961452.554724954, 686949.9426575918 6961651.661101589, 686750.5766904657 6961632.581549133, 686769.3882312281 6961433.465188664)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c47,15515,N14926E19051-N14926E19053,19,11,57.894737,"MULTIPOLYGON (((692750.2285131201 6962005.798906693, 693348.3584692184 6962063.163359886, 693329.5579161181 6962262.289991863, 692731.4277924383 6962204.915492158, 692750.2285131201 6962005.798906693)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c46,15516,N14926E19054-N14926E19054,57,30,52.631579,"MULTIPOLYGON (((693348.3584692184 6962063.163359886, 693547.7147103518 6962082.231624884, 693528.9241018074 6962281.348185258, 693329.5579161181 6962262.289991863, 693348.3584692184 6962063.163359886)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c45,15517,N14926E19055-N14926E19055,24,18,75,"MULTIPOLYGON (((693547.7147103518 6962082.231624884, 693747.0809523225 6962101.2997733075, 693728.2803844957 6962300.416424807, 693528.9241018074 6962281.348185258, 693547.7147103518 6962082.231624884)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c44,15518,N14926E19056-N14926E19056,25,22,88,"MULTIPOLYGON (((693747.0809523225 6962101.2997733075, 693946.4372070379 6962120.367973715, 693927.6366739746 6962319.484632057, 693728.2803844957 6962300.416424807, 693747.0809523225 6962101.2997733075)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c43,15519,N14926E19057-N14926E19057,11,2,18.181818,"MULTIPOLYGON (((693946.4372070379 6962120.367973715, 694145.8034625881 6962139.436057543, 694127.0029642904 6962338.552722728, 693927.6366739746 6962319.484632057, 693946.4372070379 6962120.367973715)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c42,15520,N14926E19058-N14929E19059,46,37,80.434783,"MULTIPOLYGON (((694145.8034625881 6962139.436057543, 694544.5259157392 6962177.562218417, 694469.334238756 6962974.039036681, 694070.601513409 6962935.912905363, 694145.8034625881 6962139.436057543)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c41,15521,N14926E19130-N14927E19131,32,24,75,"MULTIPOLYGON (((708499.7378072168 6963511.181361613, 708898.4533540624 6963549.243169784, 708860.9181600956 6963947.507364807, 708462.2025177096 6963909.455493245, 708499.7378072168 6963511.181361613)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c40,15522,N14926E19162-N14926E19162,15,11,73.333333,"MULTIPOLYGON (((714879.2009381437 6964120.0344586745, 715078.5594056835 6964139.048975388, 715059.8031640693 6964338.186477443, 714860.4447450417 6964319.181933619, 714879.2009381437 6964120.0344586745)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c3f,15523,N14926E19163-N14926E19163,23,16,69.565217,"MULTIPOLYGON (((715078.5594056835 6964139.048975388, 715277.9178800394 6964158.063462476, 715259.1616743904 6964357.200985851, 715059.8031640693 6964338.186477443, 715078.5594056835 6964139.048975388)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c3e,15524,N14926E19164-N14926E19165,14,12,85.714286,"MULTIPOLYGON (((715277.9178800394 6964158.063462476, 715676.634680223 6964196.072359333, 715657.8786309907 6964395.219919562, 715259.1616743904 6964357.200985851, 715277.9178800394 6964158.063462476)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c3d,15525,N14926E19186-N14927E19187,19,16,84.210526,"MULTIPOLYGON (((719663.7540379089 6964576.135239852, 720062.4710524319 6964614.132837726, 720024.9705242119 6965012.428840806, 719626.2633599355 6964974.431073226, 719663.7540379089 6964576.135239852)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c3c,15526,N14926E19188-N14926E19189,37,31,83.783784,"MULTIPOLYGON (((720062.4710524319 6964614.132837726, 720461.1780998863 6964652.130401401, 720442.4328236518 6964851.268394276, 720043.7257887688 6964813.28078224, 720062.4710524319 6964614.132837726)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c3b,15527,N14926E19249-N14927E19250,14,11,78.571429,"MULTIPOLYGON (((732223.1823079669 6965772.484368302, 732621.8880161972 6965810.403484367, 732584.4418857484 6966208.730715167, 732185.7359722657 6966170.801607552, 732223.1823079669 6965772.484368302)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c3a,15528,N14926E19251-N14927E19251,34,21,61.764706,"MULTIPOLYGON (((732621.8880161972 6965810.403484367, 732821.2459604217 6965829.3729437, 732783.799805662 6966227.690178888, 732584.4418857484 6966208.730715167, 732621.8880161972 6965810.403484367)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c39,15529,N14926E19378-N14927E19380,23,17,73.913043,"MULTIPOLYGON (((757939.6300152938 6968215.324403877, 758537.6825173844 6968272.011472867, 758500.3445976715 6968670.377714303, 757902.291853417 6968613.690606264, 757939.6300152938 6968215.324403877)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c38,15530,N14926E19381-N14931E19385,19,15,78.947368,"MULTIPOLYGON (((758537.6825173844 6968272.011472867, 759534.4201747682 6968366.489414359, 759422.4175347785 6969561.5886362335, 758425.6586781758 6969467.110669466, 758537.6825173844 6968272.011472867)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c37,15531,N14926E19399-N14926E19400,27,24,88.888889,"MULTIPOLYGON (((762125.9582346544 6968612.048145273, 762524.6533649479 6968649.818263479, 762505.9952525233 6968849.006410098, 762107.2900473672 6968811.236363883, 762125.9582346544 6968612.048145273)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c36,15532,N14926E19424-N14927E19425,15,14,93.333333,"MULTIPOLYGON (((767109.7110891716 6969084.306619998, 767508.4065127517 6969122.055472148, 767471.1024777526 6969520.432143345, 767072.4068640835 6969482.6832452975, 767109.7110891716 6969084.306619998)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c35,15533,N14926E19426-N14928E19427,19,14,73.684211,"MULTIPOLYGON (((767508.4065127517 6969122.055472148, 767907.1018845893 6969159.794203655, 767851.1511868533 6969757.369278232, 767452.4554449422 6969719.620483653, 767508.4065127517 6969122.055472148)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c34,15534,N14926E19485-N14930E19490,12,9,75,"MULTIPOLYGON (((779270.0170144744 6970235.156829219, 780466.0753515963 6970348.179265968, 780372.956473141 6971344.194474678, 779176.7740057262 6971230.843301327, 779270.0170144744 6970235.156829219)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c33,15535,N14926E19503-N14935E19511,18,14,77.777778,"MULTIPOLYGON (((782858.2024468404 6970574.170362884, 784652.2955662437 6970743.607982769, 784466.1377359198 6972735.687399463, 782672.0102893673 6972566.230575789, 782858.2024468404 6970574.170362884)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c32,15536,N14927E18622-N14927E18623,23,11,47.826087,"MULTIPOLYGON (((607200.6709604899 6953974.98903391, 607599.4430774758 6954013.572402436, 607580.476754441 6954212.596483054, 607181.7045868685 6954174.013078349, 607200.6709604899 6953974.98903391)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c31,15537,N14927E18632-N14931E18641,21,13,61.904762,"MULTIPOLYGON (((609194.5214305446 6954167.8647984145, 611188.3621051122 6954360.697705604, 611093.5430425041 6955355.859924166, 609099.6810314303 6955163.016286054, 609194.5214305446 6954167.8647984145)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c30,15538,N14927E18659-N14932E18661,20,10,50,"MULTIPOLYGON (((614577.7823954045 6954688.5355563145, 615175.9334209956 6954746.348271253, 615062.1909829809 6955940.566975893, 614464.0295556526 6955882.753911864, 614577.7823954045 6954688.5355563145)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c2f,15539,N14927E18662-N14933E18663,14,12,85.714286,"MULTIPOLYGON (((615175.9334209956 6954746.348271253, 615574.7074576518 6954784.889883741, 615442.0098993417 6956178.143794931, 615043.2355456097 6956139.601845906, 615175.9334209956 6954746.348271253)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c2e,15540,N14927E18702-N14941E18711,23,14,60.869565,"MULTIPOLYGON (((623151.1494769063 6955516.858193259, 625144.9635345417 6955709.336983397, 624860.9709930574 6958694.92588092, 622867.098914347 6958502.427976361, 623151.1494769063 6955516.858193259)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c2d,15541,N14927E18719-N14928E18720,27,17,62.962963,"MULTIPOLYGON (((626540.6356078731 6955844.041204157, 626939.3905152244 6955882.522192794, 626901.632706619 6956280.472169219, 626502.877472301 6956241.9910784215, 626540.6356078731 6955844.041204157)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c2c,15542,N14927E18747-N14932E18749,15,12,80,"MULTIPOLYGON (((632123.247953347 6956382.640753923, 632721.3798044422 6956440.324501413, 632607.8431091352 6957634.6430411115, 632009.7102367808 6957576.959798826, 632123.247953347 6956382.640753923)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c2b,15543,N14927E18750-N14928E18750,12,10,83.333333,"MULTIPOLYGON (((632721.3798044422 6956440.324501413, 632920.7571402731 6956459.55566878, 632882.9150118527 6956857.654943389, 632683.5376463146 6956838.433826249, 632721.3798044422 6956440.324501413)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c2a,15544,N14927E18754-N14936E18756,14,7,50,"MULTIPOLYGON (((633518.8890528264 6956517.228943258, 634117.021074163 6956574.901858655, 633927.8138626966 6958565.458096816, 633329.6700609879 6958507.776113572, 633518.8890528264 6956517.228943258)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c29,15545,N14927E18765-N14927E18766,14,9,64.285714,"MULTIPOLYGON (((635711.9903229064 6956728.739658745, 636110.7349628082 6956767.181696264, 636091.8248279206 6956966.235815688, 635693.0700929181 6956927.793887088, 635711.9903229064 6956728.739658745)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c28,15546,N14927E18767-N14939E18775,28,21,75,"MULTIPOLYGON (((636110.7349628082 6956767.181696264, 637905.1211822252 6956940.148778534, 637659.244967338 6959527.90406764, 635864.8226026656 6959354.908736255, 636110.7349628082 6956767.181696264)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c27,15547,N14927E18784-N14927E18788,17,12,70.588235,"MULTIPOLYGON (((639500.1205045341 6957093.862706022, 640496.9877735015 6957189.914049748, 640478.0887440378 6957388.967806672, 639481.2112283682 6957292.916610047, 639500.1205045341 6957093.862706022)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c26,15548,N14927E18909-N14927E18911,11,5,45.454545,"MULTIPOLYGON (((664421.5559360306 6959491.321209903, 665019.6629278268 6959548.744138181, 665000.8080479605 6959747.830499296, 664402.7009522299 6959690.407600122, 664421.5559360306 6959491.321209903)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c25,15549,N14927E18957-N14927E18958,23,13,56.521739,"MULTIPOLYGON (((673991.2069865816 6960409.740287885, 674389.9315968361 6960447.971858898, 674371.098382782 6960647.067721661, 673972.363735341 6960608.836220596, 673991.2069865816 6960409.740287885)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c24,15550,N14927E18959-N14927E18959,20,15,75,"MULTIPOLYGON (((674389.9315968361 6960447.971858898, 674589.2989474185 6960467.092551071, 674570.4657549115 6960666.188420934, 674371.098382782 6960647.067721661, 674389.9315968361 6960447.971858898)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c23,15551,N14927E18960-N14927E18961,22,18,81.818182,"MULTIPOLYGON (((674589.2989474185 6960467.092551071, 674988.0235830334 6960505.32392877, 674969.1904336195 6960704.419812823, 674570.4657549115 6960666.188420934, 674589.2989474185 6960467.092551071)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c22,15552,N14927E18968-N14928E18969,27,12,44.444444,"MULTIPOLYGON (((676184.2174953523 6960620.00712613, 676582.952192682 6960658.237904123, 676545.2763244617 6961056.439896034, 676146.5515350337 6961018.209005534, 676184.2174953523 6960620.00712613)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c21,15553,N14927E18970-N14930E18970,17,8,47.058824,"MULTIPOLYGON (((676582.952192682 6960658.237904123, 676782.3095115175 6960677.348331881, 676706.9778326382 6961473.752304059, 676507.6104335126 6961454.641932128, 676582.952192682 6960658.237904123)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c20,15554,N14927E19019-N14927E19021,29,16,55.172414,"MULTIPOLYGON (((686351.8546822527 6961594.412271064, 686949.9426575918 6961651.661101589, 686931.1311390126 6961850.777503844, 686333.0429968737 6961793.518648182, 686351.8546822527 6961594.412271064)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c1f,15555,N14927E19052-N14927E19053,38,29,76.315789,"MULTIPOLYGON (((692930.8353064065 6962224.143441387, 693329.5579161181 6962262.289991863, 693310.7572720506 6962461.406661818, 692912.0346770608 6962423.270091818, 692930.8353064065 6962224.143441387)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c1e,15556,N14927E19054-N14927E19054,31,21,67.741935,"MULTIPOLYGON (((693329.5579161181 6962262.289991863, 693528.9241018074 6962281.348185258, 693510.1235767615 6962480.474856233, 693310.7572720506 6962461.406661818, 693329.5579161181 6962262.289991863)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c1d,15557,N14927E19055-N14927E19055,12,9,75,"MULTIPOLYGON (((693528.9241018074 6962281.348185258, 693728.2803844957 6962300.416424807, 693709.4798942159 6962499.543102627, 693510.1235767615 6962480.474856233, 693528.9241018074 6962281.348185258)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c1c,15558,N14927E19056-N14927E19056,34,28,82.352941,"MULTIPOLYGON (((693728.2803844957 6962300.416424807, 693927.6366739746 6962319.484632057, 693908.8461282514 6962518.601238267, 693709.4798942159 6962499.543102627, 693728.2803844957 6962300.416424807)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c1b,15559,N14927E19057-N14927E19057,23,16,69.565217,"MULTIPOLYGON (((693927.6366739746 6962319.484632057, 694127.0029642904 6962338.552722728, 694108.2024592849 6962537.669420063, 693908.8461282514 6962518.601238267, 693927.6366739746 6962319.484632057)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c1a,15560,N14927E19129-N14927E19129,15,11,73.333333,"MULTIPOLYGON (((708281.6124034034 6963691.292444334, 708480.9701667171 6963710.318412051, 708462.2025177096 6963909.455493245, 708262.8446250058 6963890.419516935, 708281.6124034034 6963691.292444334)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c19,15561,N14927E19153-N14928E19155,30,23,76.666667,"MULTIPOLYGON (((713066.2004144422 6964147.827188602, 713664.2741777909 6964204.882785706, 713626.7512052625 6964603.157642414, 713028.6772563414 6964546.111953287, 713066.2004144422 6964147.827188602)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c18,15562,N14927E19162-N14927E19163,24,16,66.666667,"MULTIPOLYGON (((714860.4447450417 6964319.181933619, 715259.1616743904 6964357.200985851, 715240.4054619737 6964556.3385387305, 714841.6884606918 6964518.319443855, 714860.4447450417 6964319.181933619)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c17,15563,N14927E19164-N14927E19165,36,25,69.444444,"MULTIPOLYGON (((715259.1616743904 6964357.200985851, 715657.8786309907 6964395.219919562, 715639.1224905088 6964594.357515079, 715240.4054619737 6964556.3385387305, 715259.1616743904 6964357.200985851)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c16,15564,N14927E19188-N14928E19189,42,30,71.428571,"MULTIPOLYGON (((720043.7257887688 6964813.28078224, 720442.4328236518 6964851.268394276, 720404.9424200533 6965249.564457124, 720006.2251625598 6965211.566850167, 720043.7257887688 6964813.28078224)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c15,15565,N14927E19237-N14927E19240,28,23,82.142857,"MULTIPOLYGON (((729812.2143324062 6965744.045580299, 730609.6259607483 6965819.925270857, 730590.902464238 6966019.073918353, 729793.4907998885 6965943.2042247, 729812.2143324062 6965744.045580299)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c14,15566,N14927E19270-N14950E19272,14,8,57.142857,"MULTIPOLYGON (((736390.9376200163 6966370.065486359, 736989.0005738026 6966426.92071965, 736539.7259887051 6971206.597208164, 735941.5880862991 6971149.422522356, 736390.9376200163 6966370.065486359)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c13,15567,N14927E19399-N14928E19399,16,13,81.25,"MULTIPOLYGON (((762107.2900473672 6968811.236363883, 762306.6476434241 6968830.121360728, 762269.3212374706 6969228.487828583, 762069.9735547939 6969209.602733822, 762107.2900473672 6968811.236363883)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c12,15568,N14927E19400-N14928E19402,13,12,92.307692,"MULTIPOLYGON (((762306.6476434241 6968830.121360728, 762904.6904922085 6968886.77641156, 762867.3643284881 6969285.142918303, 762269.3212374706 6969228.487828583, 762306.6476434241 6968830.121360728)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c11,15569,N14927E19403-N14933E19411,23,18,78.26087,"MULTIPOLYGON (((762904.6904922085 6968886.77641156, 764698.8291643925 6969056.709745248, 764568.2252872227 6970451.028174231, 762774.063997916 6970281.0846084, 762904.6904922085 6968886.77641156)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c10,15570,N14927E19520-N14928E19520,11,7,63.636364,"MULTIPOLYGON (((786228.4284431966 6971093.392297311, 786427.9096763202 6971112.560367607, 786390.6848976852 6971510.977764211, 786191.2036798901 6971491.809828515, 786228.4284431966 6971093.392297311)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c0f,15571,N14927E19521-N14927E19521,14,10,71.428571,"MULTIPOLYGON (((786427.9096763202 6971112.560367607, 786627.2485940713 6971131.380454296, 786608.6362466475 6971330.589132548, 786409.2972903084 6971311.769048995, 786427.9096763202 6971112.560367607)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c0e,15572,N14927E19522-N14928E19522,43,21,48.837209,"MULTIPOLYGON (((786627.2485940713 6971131.380454296, 786826.5975125778 6971150.200421793, 786789.372888303 6971548.617805832, 786590.0338868019 6971529.797759405, 786627.2485940713 6971131.380454296)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c0d,15573,N14927E19523-N14928E19524,17,15,88.235294,"MULTIPOLYGON (((786826.5975125778 6971150.200421793, 787225.2853751136 6971187.840340053, 787188.0609052018 6971586.257711514, 786789.372888303 6971548.617805832, 786826.5975125778 6971150.200421793)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c0c,15574,N14928E18721-N14929E18721,11,9,81.818182,"MULTIPOLYGON (((626920.4570367597 6956081.577409766, 627119.8445340948 6956100.817777551, 627082.0875441477 6956498.758300221, 626882.699865411 6956479.517904223, 626920.4570367597 6956081.577409766)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c0b,15575,N14928E18722-N14929E18722,16,15,93.75,"MULTIPOLYGON (((627119.8445340948 6956100.817777551, 627319.222045315 6956120.058196499, 627281.4652397254 6956517.998743562, 627082.0875441477 6956498.758300221, 627119.8445340948 6956100.817777551)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c0a,15576,N14928E18723-N14930E18724,19,14,73.684211,"MULTIPOLYGON (((627319.222045315 6956120.058196499, 627718.0958375344 6956158.378099954, 627661.2980100074 6956755.525163546, 627262.5324898191 6956717.044492025, 627319.222045315 6956120.058196499)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c09,15577,N14928E18751-N14930E18752,22,15,68.181818,"MULTIPOLYGON (((632901.8361239012 6956658.610283311, 633300.5908615664 6956697.062448089, 633243.8279976114 6957294.216366964, 632845.0729195185 6957255.76437063, 632901.8361239012 6956658.610283311)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c08,15578,N14928E18766-N14930E18766,14,9,64.285714,"MULTIPOLYGON (((635892.4474550785 6956947.014869631, 636091.8248279206 6956966.235815688, 636035.0843660012 6957563.398475264, 635835.7068416253 6957544.177567177, 635892.4474550785 6956947.014869631)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c07,15579,N14928E18787-N14929E18790,20,15,75,"MULTIPOLYGON (((640079.3337082914 6957350.547470839, 640876.8338281114 6957427.388080367, 640839.0260296519 6957825.505729893, 640041.5255056057 6957748.665221944, 640079.3337082914 6957350.547470839)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c06,15580,N14928E18844-N14928E18845,13,9,69.230769,"MULTIPOLYGON (((651443.6267979855 6958444.668785664, 651842.3782533065 6958483.015899852, 651823.4906097089 6958682.091896294, 651424.7391104944 6958643.744704506, 651443.6267979855 6958444.668785664)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c05,15581,N14928E18846-N14929E18846,19,15,78.947368,"MULTIPOLYGON (((651842.3782533065 6958483.015899852, 652041.7489904006 6958502.1894606855, 652003.9837370119 6958900.34147261, 651804.60296176 6958881.167918174, 651842.3782533065 6958483.015899852)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c04,15582,N14928E18847-N14930E18847,18,8,44.444444,"MULTIPOLYGON (((652041.7489904006 6958502.1894606855, 652241.1197318711 6958521.362996006, 652184.4669979129 6959118.6012046, 651985.0961066599 6959099.417558735, 652041.7489904006 6958502.1894606855)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c03,15583,N14928E18909-N14928E18909,21,16,76.190476,"MULTIPOLYGON (((664402.7009522299 6959690.407600122, 664602.0699771864 6959709.548602228, 664583.215105189 6959908.645012392, 664383.8360514069 6959889.504104119, 664402.7009522299 6959690.407600122)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c02,15584,N14928E18953-N14932E18956,11,9,81.818182,"MULTIPOLYGON (((673174.9043170116 6960532.352759416, 673972.363735341 6960608.836220596, 673878.1675724156 6961604.336185339, 673080.697729028 6961527.852666211, 673174.9043170116 6960532.352759416)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c01,15585,N14928E18957-N14928E18957,16,12,75,"MULTIPOLYGON (((673972.363735341 6960608.836220596, 674171.7310990161 6960627.956984307, 674152.8878651103 6960827.052956198, 673953.5204798878 6960807.932185384, 673972.363735341 6960608.836220596)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2c00,15586,N14928E18958-N14928E18958,15,13,86.666667,"MULTIPOLYGON (((674171.7310990161 6960627.956984307, 674371.098382782 6960647.067721661, 674352.2552545604 6960846.173694786, 674152.8878651103 6960827.052956198, 674171.7310990161 6960627.956984307)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2bff,15587,N14928E18959-N14928E18959,22,17,77.272727,"MULTIPOLYGON (((674371.098382782 6960647.067721661, 674570.4657549115 6960666.188420934, 674551.6225641004 6960865.284407021, 674352.2552545604 6960846.173694786, 674371.098382782 6960647.067721661)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2bfe,15588,N14928E18960-N14928E18960,16,12,75,"MULTIPOLYGON (((674570.4657549115 6960666.188420934, 674769.823137175 6960685.309172127, 674750.989962005 6960884.405081168, 674551.6225641004 6960865.284407021, 674570.4657549115 6960666.188420934)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2bfd,15589,N14928E18961-N14928E18961,16,11,68.75,"MULTIPOLYGON (((674769.823137175 6960685.309172127, 674969.1904336195 6960704.419812823, 674950.3573641377 6960903.52572309, 674750.989962005 6960884.405081168, 674769.823137175 6960685.309172127)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2bfc,15590,N14928E19019-N14928E19022,24,16,66.666667,"MULTIPOLYGON (((686333.0429968737 6961793.518648182, 687130.4871450401 6961869.8571192315, 687111.6756486443 6962068.973563276, 686314.2313061437 6961992.625056764, 686333.0429968737 6961793.518648182)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2bfb,15591,N14928E19052-N14929E19052,13,12,92.307692,"MULTIPOLYGON (((692912.0346770608 6962423.270091818, 693111.4009681824 6962442.33835083, 693073.7895963229 6962840.571857772, 692874.4332297198 6962821.503500783, 692912.0346770608 6962423.270091818)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2bfa,15592,N14928E19053-N14929E19053,39,31,79.487179,"MULTIPOLYGON (((693111.4009681824 6962442.33835083, 693310.7572720506 6962461.406661818, 693273.1559637745 6962859.640098181, 693073.7895963229 6962840.571857772, 693111.4009681824 6962442.33835083)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2bf9,15593,N14928E19054-N14928E19054,27,13,48.148148,"MULTIPOLYGON (((693310.7572720506 6962461.406661818, 693510.1235767615 6962480.474856233, 693491.3229607475 6962679.591565187, 693291.9566212696 6962660.5233639255, 693310.7572720506 6962461.406661818)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2bf8,15594,N14928E19055-N14928E19055,25,19,76,"MULTIPOLYGON (((693510.1235767615 6962480.474856233, 693709.4798942159 6962499.543102627, 693690.6793129677 6962698.659818425, 693491.3229607475 6962679.591565187, 693510.1235767615 6962480.474856233)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2bf7,15595,N14928E19056-N14929E19056,88,58,65.909091,"MULTIPOLYGON (((693709.4798942159 6962499.543102627, 693908.8461282514 6962518.601238267, 693871.2451128397 6962916.844709881, 693671.878725008 6962897.776566376, 693709.4798942159 6962499.543102627)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2bf6,15596,N14928E19057-N14929E19057,28,25,89.285714,"MULTIPOLYGON (((693908.8461282514 6962518.601238267, 694108.2024592849 6962537.669420063, 694070.601513409 6962935.912905363, 693871.2451128397 6962916.844709881, 693908.8461282514 6962518.601238267)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2bf5,15597,N14928E19082-N14928E19083,20,15,75,"MULTIPOLYGON (((698892.8648544749 6962995.115269979, 699291.5876029438 6963033.219919203, 699272.7980736796 6963232.346736047, 698874.0751713489 6963194.232079024, 698892.8648544749 6962995.115269979)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2bf4,15598,N14928E19084-N14928E19085,23,18,78.26087,"MULTIPOLYGON (((699291.5876029438 6963033.219919203, 699690.3003843464 6963071.324523508, 699671.5209186964 6963270.451269644, 699272.7980736796 6963232.346736047, 699291.5876029438 6963033.219919203)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2bf3,15599,N14928E19120-N14929E19120,17,12,70.588235,"MULTIPOLYGON (((706468.5738276186 6963718.955857481, 706667.931289283 6963737.9818454385, 706630.3851459343 6964136.246007573, 706431.0276005659 6964117.219999628, 706468.5738276186 6963718.955857481)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-2bf2,15600,N14928E19124-N14934E19128,17,11,64.705882,"MULTIPOLYGON (((707266.0455496201 6963795.26923909, 708262.8446250058 6963890.419516935, 708131.4303833466 6965284.360194829, 707134.588258979 6965189.019970835, 707266.0455496201 6963795.26923909)))"
